#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-26T08:00:00Z,-56.285714285714285,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-26T10:00:00Z,-52.083333333333336,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-26T16:00:00Z,-64.53571428571428,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-26T17:00:00Z,-64.38095238095237,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-26T18:00:00Z,-62.202380952380956,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-26T19:00:00Z,-50.650793650793645,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-26T20:00:00Z,-43.3095238095238,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-26T21:00:00Z,-35.595238095238095,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-26T22:00:00Z,-42.69047619047618,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-26T23:00:00Z,-42.523809523809526,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-27T00:00:00Z,-43.07142857142858,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-27T01:00:00Z,-50.3095238095238,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-27T02:00:00Z,-50.214285714285715,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-27T03:00:00Z,-43.11904761904762,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-27T04:00:00Z,-57.904761904761905,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-27T05:00:00Z,-53.404761904761905,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-27T06:00:00Z,-49.64285714285714,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-27T07:00:00Z,-40.833333333333336,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-27T08:00:00Z,-37.85548941798942,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-27T09:00:00Z,-44.086309523809526,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-27T10:00:00Z,-37.333333333333336,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-27T11:00:00Z,-37.61904761904762,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-27T12:00:00Z,-45.11904761904762,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-27T13:00:00Z,-37.54761904761905,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-27T14:00:00Z,-37.595238095238095,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-27T15:00:00Z,-52.714285714285715,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-27T16:00:00Z,-37.57142857142858,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-27T17:00:00Z,-37.42857142857142,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-27T18:00:00Z,-37.833333333333336,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-27T19:00:00Z,-44.595238095238095,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-27T20:00:00Z,-53.952380952380956,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-27T21:00:00Z,-36.61904761904762,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-27T22:00:00Z,-37.452380952380956,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-27T23:00:00Z,-37.76190476190476,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-28T00:00:00Z,-51.26190476190476,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-28T01:00:00Z,-51.166666666666664,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-28T02:00:00Z,-64.76190476190476,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-28T03:00:00Z,-44.4047619047619,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-28T04:00:00Z,-37.14285714285714,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-28T05:00:00Z,-44.69047619047618,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-28T06:00:00Z,-34.976190476190474,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-28T07:00:00Z,-41.875,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-28T08:00:00Z,-35.172619047619044,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-28T09:00:00Z,-35.279761904761905,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-28T10:00:00Z,-42.88095238095238,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-28T11:00:00Z,-44.73809523809524,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-28T12:00:00Z,-33.738095238095234,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-28T13:00:00Z,-50.07142857142858,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-28T14:00:00Z,-41.73809523809524,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-28T15:00:00Z,-33.547619047619044,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-28T16:00:00Z,-82.42857142857143,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-29T09:00:00Z,-54.57142857142856,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-29T10:00:00Z,-53.92857142857144,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-29T11:00:00Z,-60.5952380952381,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-29T12:00:00Z,-58.43154761904762,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-29T13:00:00Z,-48.14285714285714,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-29T14:00:00Z,-71.57142857142857,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-29T15:00:00Z,-57.5,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-29T16:00:00Z,-49.92857142857142,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-29T17:00:00Z,-39.547619047619044,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-29T18:00:00Z,-47.285714285714285,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-29T19:00:00Z,-47.357142857142854,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-29T20:00:00Z,-47.73809523809524,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-29T21:00:00Z,-44.9047619047619,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-29T22:00:00Z,-45.30952380952382,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-29T23:00:00Z,-50.523809523809526,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-30T00:00:00Z,-40.23809523809524,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-30T01:00:00Z,-49.61904761904762,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-30T02:00:00Z,-40.42857142857142,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-30T03:00:00Z,-45.47619047619048,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-30T04:00:00Z,-45.5,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-30T05:00:00Z,-55.80952380952382,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-30T06:00:00Z,-46.214285714285715,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-30T07:00:00Z,-46.38095238095238,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-30T08:00:00Z,-48.07142857142858,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-30T09:00:00Z,-55.523809523809526,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-30T10:00:00Z,-47.14285714285714,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-30T11:00:00Z,-46.25992063492063,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-30T12:00:00Z,-39.839285714285715,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-30T13:00:00Z,-45.43320105820106,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-30T14:00:00Z,-55.42559523809524,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-30T15:00:00Z,-49.30952380952382,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-30T16:00:00Z,-49.24603174603175,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-30T17:00:00Z,-49.047619047619044,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-30T18:00:00Z,-42.523809523809526,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-30T19:00:00Z,-42.490476190476194,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-30T20:00:00Z,-42.928571428571416,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-30T21:00:00Z,-45.23809523809524,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-30T22:00:00Z,-34.547619047619044,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-30T23:00:00Z,-40.023809523809526,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-31T00:00:00Z,-34.73809523809525,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-31T01:00:00Z,-45.23809523809524,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-31T02:00:00Z,-40.047619047619044,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-31T03:00:00Z,-50.547619047619044,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-31T04:00:00Z,-40.142857142857146,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-31T05:00:00Z,-34.785714285714285,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-31T06:00:00Z,-42.476190476190474,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-31T07:00:00Z,-42.857142857142854,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-31T08:00:00Z,-58.49999999999999,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-31T09:00:00Z,-43.166666666666664,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-31T10:00:00Z,-46.23809523809524,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-31T11:00:00Z,-43.38095238095238,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-31T12:00:00Z,-37.476190476190474,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-31T13:00:00Z,-37.285714285714285,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-31T14:00:00Z,-42.69047619047618,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-31T15:00:00Z,-42.19047619047618,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-31T16:00:00Z,-37.29861111111111,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-31T17:00:00Z,-42.26984126984127,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-31T18:00:00Z,-48.476190476190474,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-31T19:00:00Z,-42.642857142857146,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-31T20:00:00Z,-37.261904761904766,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-31T21:00:00Z,-32.88095238095238,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-31T22:00:00Z,-44.452380952380956,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-07-31T23:00:00Z,-31.85714285714286,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-01T00:00:00Z,-51.64285714285714,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-01T01:00:00Z,-31.5952380952381,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-01T02:00:00Z,-31.71428571428571,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-01T03:00:00Z,-31.78571428571429,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-01T04:00:00Z,-44.952380952380956,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-01T05:00:00Z,-33.166666666666664,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-01T06:00:00Z,-43.214285714285715,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-01T07:00:00Z,-38.214285714285715,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-01T08:00:00Z,-55.69047619047618,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-01T09:00:00Z,-49.88095238095238,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-01T10:00:00Z,-43.904761904761905,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-01T11:00:00Z,-38.976190476190474,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-01T12:00:00Z,-38.761904761904766,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-01T13:00:00Z,-44.333333333333336,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-01T14:00:00Z,-38.833333333333336,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-01T15:00:00Z,-49.88095238095238,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-01T16:00:00Z,-44.42857142857142,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-01T17:00:00Z,-40.70634920634921,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-01T18:00:00Z,-51.82314814814814,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-01T19:00:00Z,-43.955357142857146,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-01T20:00:00Z,-43.57142857142858,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-01T21:00:00Z,-47.14285714285714,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-01T22:00:00Z,-31.83333333333334,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-01T23:00:00Z,-31.73809523809524,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-02T00:00:00Z,-45.785714285714285,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-02T01:00:00Z,-31.0952380952381,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-02T02:00:00Z,-31.11904761904762,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-02T03:00:00Z,-52.857142857142854,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-02T04:00:00Z,-38.19047619047619,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-02T05:00:00Z,-33.404761904761905,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-02T06:00:00Z,-51.35714285714286,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-02T07:00:00Z,-37.80952380952382,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-02T08:00:00Z,-50.095238095238095,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-02T09:00:00Z,-43.80952380952382,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-02T10:00:00Z,-37.57142857142857,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-02T11:00:00Z,-37.714285714285715,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-02T12:00:00Z,-41.261904761904766,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-02T13:00:00Z,-42.92857142857142,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-02T14:00:00Z,-47.88095238095238,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-02T15:00:00Z,-42.666666666666664,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-02T16:00:00Z,-47.833333333333336,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-02T17:00:00Z,-48.21428571428572,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-02T18:00:00Z,-43.666666666666664,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-02T19:00:00Z,-38.166666666666664,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-02T20:00:00Z,-37.476190476190474,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-02T21:00:00Z,-36.404761904761905,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-02T22:00:00Z,-36.5,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-02T23:00:00Z,-36.642857142857146,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-03T00:00:00Z,-41.69047619047619,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-03T01:00:00Z,-36.351190476190474,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-03T02:00:00Z,-45.58630952380952,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-03T03:00:00Z,-41,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-03T04:00:00Z,-40.642857142857146,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-03T05:00:00Z,-40.5,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-03T06:00:00Z,-51.857142857142854,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-03T07:00:00Z,-41.92857142857143,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-03T08:00:00Z,-41.88095238095238,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-03T09:00:00Z,-36.714285714285715,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-03T10:00:00Z,-36.8095238095238,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-03T11:00:00Z,-37.333333333333336,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-03T12:00:00Z,-47.35714285714286,value,wifi_signal,bashful
,,0,2023-07-23T08:41:51.623066323Z,2023-08-22T08:41:51.623066323Z,2023-08-03T13:00:00Z,-42.238095238095234,value,wifi_signal,bashful
